Landmark Index,X Coordinate,Y Coordinate
0,160.3118133544922,419.9944496154785
1,214.6605110168457,414.00452613830566
2,254.45898056030273,386.4562225341797
3,266.9110298156738,354.9433135986328
4,264.9704933166504,326.05464935302734
5,244.55345153808594,291.9312286376953
6,266.7206573486328,252.2618865966797
7,277.4074935913086,256.61624908447266
8,281.2615776062012,271.7108631134033
9,208.69977951049805,287.7397155761719
10,228.83939743041992,266.45567893981934
11,238.6618995666504,288.24222564697266
12,240.41271209716797,312.8159523010254
13,174.3084716796875,297.14083671569824
14,197.24821090698242,294.6065139770508
15,206.37746810913086,317.53406524658203
16,205.68647384643555,340.54309844970703
17,141.59969329833984,316.04418754577637
18,165.15783309936523,317.9318618774414
19,176.54985427856445,336.0612201690674
20,178.48947525024414,354.2934322357178
